Josef Fruehwald, 21, m, w, 15, Philadelphia, 2006

vowel	stress	word	F1	F2	F3	B1	B2	B3	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	F1@20%	F2@20%	F1@35%	F2@35%	F1@50%	F2@50%	F1@65%	F2@65%	F1@80%	F2@80%	nFormants
AE	2	ABSOLUTELY	608.9	1521.3	1855.1	65.0	98.2	978.7	822.57	822.507	822.697	0.19	3	1	1	2	0	5			694.2	1485.1	592.2	1508.2	545.2	1468.8	634.2	1514.7	612.7	1491.7	6
UW	1	ABSOLUTELY	552.2	1889.3	3717.0	363.3	338.9	352.2	823.104	823.077	823.157	0.08	82	1	4	1	7	1			519.7	1782.3	552.5	1894.6	490.3	1855.3	445.4	1849.3	464.3	1945.5	4
AE	1	YEAH	553.2	1714.0	2341.3	99.1	160.4	917.5	831.5	831.473	831.553	0.08	3	0	0	0	9	0			536.2	1743.0	554.6	1712.3	542.8	1694.6	491.0	1680.5	430.2	1503.3	6
AW	1	WOW	615.7	1175.8	2652.7	104.7	113.6	349.9	834.755	834.732	834.842	0.11	42	0	0	0	9	0			616.7	1178.0	657.5	1173.3	655.2	1278.1	618.6	1324.7	637.9	1407.2	5
AH	1	UH	549.7	1171.3	1862.1	222.6	322.5	265.2	848.443	848.42	848.49	0.07	6	0	0	0	0	0			552.4	1177.0	552.3	1172.1	573.5	1197.3	591.4	1183.3	570.2	1194.3	6
AW	1	WOW	606.3	1302.7	2801.5	124.9	158.2	250.5	851.64	851.633	851.713	0.08	42	0	0	0	9	0			595.0	1322.6	566.6	1321.0	603.8	1326.1	632.4	1382.5	600.0	1387.2	5
AE	1	HAVE	570.2	1742.1	2814.4	241.4	230.6	973.4	852.981	852.964	853.014	0.05	3	3	2	2	0	0			548.4	1758.1	570.2	1742.1	615.1	1787.2	643.4	1830.5	661.5	1821.6	4
AE	1	HAD	658.6	1631.1	2327.5	37.2	138.0	537.7	853.184	853.154	853.244	0.09	3	1	4	2	0	0			667.9	1607.8	657.0	1634.3	625.2	1627.7	590.2	1544.4	599.1	1515.0	5
AH	1	OTHER	585.7	1261.8	2275.8	83.0	83.2	367.8	853.301	853.264	853.374	0.11	6	3	3	2	0	1			556.8	1328.5	586.7	1261.2	576.6	1282.7	538.8	1293.6	514.8	1233.6	5
ER	0	OTHER	417.8	1356.4	2266.6	125.3	96.4	844.3	853.421	853.404	853.454	0.05	94	0	0	0	3	0			431.2	1346.8	417.8	1356.4	410.4	1381.2	416.7	1408.9	437.5	1439.6	6
IY	1	DREAMS	466.5	1944.5	2658.3	275.2	45.5	1283.1	853.577	853.554	853.624	0.07	11	4	1	2	8	3			473.3	1895.5	465.8	1950.1	438.5	2004.8	448.0	2028.6	491.5	2002.7	5
EH	1	WHERE	480.5	1727.7	3298.8	86.1	149.6	791.2	853.921	853.904	853.954	0.05	24	6	4	2	9	0			489.1	1714.9	480.5	1727.7	470.3	1749.7	464.5	1744.1	460.6	1723.8	3
EH	1	WHERE	463.9	1583.9	2112.2	109.2	211.8	791.1	854.561	854.524	854.634	0.11	24	6	4	2	9	0			462.1	1513.7	463.7	1584.5	456.2	1597.5	458.6	1660.7	462.5	1702.2	3
UW	1	YOU	348.1	1287.2	1872.7	68.0	299.2	255.5	855.071	855.054	855.104	0.05	82	0	0	0	9	0			335.6	1322.9	348.1	1287.2	358.1	1242.1	357.4	1226.6	354.3	1217.7	6
ER	0	WERE	427.2	1626.4	2357.6	80.8	142.3	2094.2	855.157	855.134	855.204	0.07	94	0	0	0	9	0			427.7	1588.4	428.0	1629.1	453.2	1660.5	485.5	1632.6	489.3	1582.9	5
OW	1	TOLD	492.0	1073.7	1861.7	222.3	455.5	735.4	855.256	855.244	855.294	0.05	62	5	4	2	3	3			492.0	1073.7	506.8	949.7	519.8	904.2	519.0	868.9	517.2	830.4	6
AH	1	SOMETHING	560.5	1009.0	2420.1	245.0	267.2	630.2	855.554	855.484	855.694	0.21	6	4	1	2	3	4			561.9	1043.8	571.2	988.6	497.5	1110.7	585.2	1083.9	520.0	1419.0	5
OW	1	OKAY	506.3	1125.0	1989.6	196.8	282.4	225.4	914.178	914.161	914.251	0.09	62	1	6	1	0	1			509.8	1121.8	548.6	1064.1	529.9	1126.0	468.9	1207.3	412.0	1223.4	6
AH	0	HM	364.1	1221.9	2028.4	165.8	491.2	331.1	959.138	959.111	959.191	0.08	6	4	1	2	0	0			365.2	1203.8	361.9	1223.2	345.0	1235.0	373.7	1329.2	390.0	1320.5	6
AE	1	YEAH	531.5	1856.4	3446.2	202.1	223.7	1271.6	977.372	977.349	977.419	0.07	3	0	0	0	9	0			542.7	1846.2	528.8	1855.9	531.0	1837.7	535.2	1808.8	521.1	1765.6	4
AW	1	WOW	632.5	1542.6	3418.8	139.3	351.2	721.0	1000.927	1000.901	1001.101	0.2	42	0	0	0	9	0			657.4	1513.1	644.6	1568.3	655.1	1481.9	732.7	1490.3	765.2	1408.4	4
AE	1	HAS	598.3	1696.1	3096.9	70.9	150.1	672.3	1009.488	1009.451	1009.561	0.11	3	3	4	2	0	0			609.4	1638.9	597.4	1700.7	599.9	1733.7	593.5	1709.3	511.0	1711.5	4
AH	0	HAS	506.0	1408.4	1692.5	91.7	832.1	39.0	1009.801	1009.781	1009.841	0.06	6	3	4	2	0	0			508.6	1438.6	506.0	1399.1	504.2	1328.8	501.1	1302.8	510.3	1301.9	6
EH	1	EVER	551.4	1517.6	2174.0	170.5	100.6	584.1	1009.998	1009.981	1010.031	0.05	2	3	2	2	0	1			564.4	1537.5	551.4	1517.6	545.9	1490.5	542.5	1467.3	532.8	1445.1	5
AH	0	A	496.3	1569.6	2526.0	96.1	125.3	405.9	1010.234	1010.211	1010.281	0.07	6	0	0	0	0	0			506.4	1551.7	496.4	1571.2	502.7	1548.9	519.5	1536.2	564.2	1571.3	5
AY	1	TIME	741.8	1237.9	3128.0	213.9	76.9	916.1	1010.471	1010.391	1010.551	0.16	41	4	1	2	3	0		s	662.9	1214.6	665.4	1184.6	741.8	1237.9	770.7	1317.3	736.0	1444.0	5
UW	1	YOU	419.7	1578.8	1835.8	104.6	273.8	296.1	1010.991	1010.951	1011.071	0.12	82	0	0	0	9	0			425.7	1496.3	415.2	1582.3	376.3	1538.5	364.3	1489.1	418.5	1463.7	6
ER	0	WERE	421.1	1428.2	1952.3	66.4	191.5	706.4	1011.148	1011.121	1011.201	0.08	94	0	0	0	9	0			420.8	1326.7	421.8	1433.8	432.8	1460.9	438.2	1450.6	436.1	1487.3	6
IH	1	THINKING	438.5	1653.5	2540.4	72.7	102.3	530.7	1011.258	1011.231	1011.311	0.08	1	4	6	2	3	4			449.0	1596.2	437.8	1655.1	436.8	1631.8	449.8	1588.0	455.0	1552.7	5
EH	1	YOURSELF	559.4	1376.5	2797.8	143.3	101.2	330.7	1011.658	1011.641	1011.691	0.05	2	5	4	2	3	3			566.5	1413.1	559.4	1376.5	575.7	1326.0	592.3	1319.1	610.1	1310.4	5
AE	1	THAT	589.3	1482.9	2820.8	134.3	115.1	419.3	1012.054	1012.021	1012.121	0.1	3	1	4	1	3	0			570.8	1437.4	590.3	1490.8	575.0	1531.4	600.8	1502.0	611.0	1522.3	5
AH	0	THIS	460.7	1639.8	2731.1	162.3	222.3	711.9	1012.714	1012.691	1012.761	0.07	6	3	4	1	3	0			465.5	1628.0	460.5	1641.4	460.4	1676.9	463.4	1676.2	457.7	1671.8	5
EH	1	WHEN	619.6	1198.1	2082.7	74.0	246.0	537.2	1013.231	1013.211	1013.271	0.06	2	4	4	2	9	0			625.0	1195.6	618.0	1198.2	603.6	1175.6	608.8	1160.3	641.0	1158.0	6
OW	1	GO	579.6	1239.2	2036.8	117.3	242.9	579.3	1013.598	1013.591	1013.671	0.08	63	0	0	0	6	0			579.1	1210.7	570.4	1172.3	552.8	1184.2	539.3	1140.8	549.5	1205.1	6
OW	1	NO	541.1	1433.9	2449.6	151.4	186.6	880.4	1017.147	1017.131	1017.271	0.14	63	0	0	0	4	0			545.4	1377.9	524.5	1327.6	513.8	1242.2	530.9	1271.5	593.2	1370.0	5
AE	1	HAVE	590.6	1471.0	2589.6	79.2	363.4	449.4	1037.184	1037.167	1037.217	0.05	3	3	2	2	0	0			595.0	1485.3	589.8	1469.6	584.5	1428.8	576.1	1384.7	560.7	1366.0	5
AH	0	JUST	442.1	1522.7	2158.0	86.4	116.7	1346.4	1038.136	1038.116	1038.176	0.06	6	3	4	1	5	3			454.8	1518.4	441.1	1523.1	443.5	1533.4	445.7	1532.1	445.6	1510.2	6
AE	1	AND	617.7	1633.0	2773.2	137.2	221.2	378.6	1052.688	1052.658	1052.748	0.09	3	4	4	2	0	3			569.9	1607.3	621.2	1636.3	595.5	1642.3	582.4	1657.2	578.6	1663.0	5
AW	1	HOW	697.7	1413.1	3079.7	160.1	234.6	595.8	1052.965	1052.958	1053.048	0.09	42	0	0	0	0	0			697.7	1413.1	701.6	1384.5	681.6	1353.0	614.5	1352.8	713.9	1410.7	4
IY	0	MANY	377.6	2214.6	3238.1	252.1	448.6	420.7	1053.191	1053.148	1053.278	0.13	12	0	0	0	4	0			373.8	2247.3	384.7	2214.7	429.7	2199.0	407.9	2232.3	447.9	2126.6	4
AW	1	HOW	745.0	1159.9	2797.0	271.9	454.5	877.4	1053.355	1053.348	1053.428	0.08	42	0	0	0	0	0			741.8	1149.3	707.6	1092.1	613.2	1112.8	582.0	1209.3	578.0	1343.2	5
AE	1	GRANDKIDS	706.4	1697.2	2441.5	145.9	123.9	508.0	1053.651	1053.618	1053.718	0.1	33	4	4	2	8	4			600.6	1568.3	706.3	1708.2	689.3	1756.6	600.3	1451.3	512.7	1078.1	3
UW	1	TWO	452.5	1939.7	3570.5	282.9	586.6	952.0	1055.411	1055.265	1055.565	0.3	73	0	0	0	3	0			702.1	2025.7	428.4	1875.4	453.2	1929.0	759.0	2730.0	514.3	1304.2	4
OW	1	OKAY	558.2	1284.2	2501.6	195.7	255.1	912.6	1064.633	1064.626	1064.676	0.05	62	1	6	1	0	1			558.2	1284.2	554.0	1302.9	523.9	1317.6	502.3	1323.8	499.0	1314.6	5
AE	1	HAVE	550.5	1675.0	3289.3	68.2	225.0	232.2	1066.686	1066.669	1066.719	0.05	3	3	2	2	0	0			541.1	1656.2	552.6	1676.0	562.8	1678.1	555.1	1692.5	551.8	1676.9	4
AH	0	YOU	487.5	1631.9	2337.8	58.9	135.4	421.9	1066.852	1066.819	1066.919	0.1	6	0	0	0	9	0			462.4	1689.3	491.0	1626.1	513.6	1618.4	502.6	1585.3	511.9	1616.7	5
ER	0	EVER	520.1	1396.3	2342.0	89.4	117.9	994.9	1067.249	1067.229	1067.289	0.06	94	0	0	0	1	0			524.6	1422.8	519.3	1394.5	509.3	1365.1	508.9	1383.3	505.5	1473.2	5
AE	1	HAD	619.0	1566.0	2369.8	49.6	137.6	351.1	1067.362	1067.329	1067.429	0.1	3	1	4	2	0	0			610.0	1578.0	621.3	1565.8	635.5	1567.4	629.6	1536.7	607.7	1500.1	5
IY	1	DREAM	384.1	1838.2	3032.3	152.5	92.6	724.7	1067.656	1067.619	1067.729	0.11	11	4	1	2	8	0			386.9	1782.4	385.2	1839.1	439.2	1884.0	419.7	1941.5	413.5	1906.0	4
AE	1	THAT	550.9	1418.3	2841.5	75.3	115.1	263.2	1067.826	1067.799	1067.879	0.08	3	1	4	1	3	0			543.4	1484.9	551.5	1411.9	547.4	1378.6	541.0	1362.2	542.3	1323.5	5
AY	1	LIKE	489.7	1312.6	3037.7	57.8	128.2	409.3	1067.936	1067.949	1068.029	0.08	47	1	6	1	7	0			477.1	1527.6	454.6	1565.5	442.1	1582.7	549.8	1644.4	574.2	1687.8	5
IY	1	REALLY	372.1	1430.9	1848.1	119.7	268.6	437.3	1068.176	1068.149	1068.229	0.08	11	5	4	2	7	1			360.4	1456.0	372.7	1426.4	379.8	1325.7	371.9	1246.9	358.0	1234.6	6
AH	0	THAT	464.6	1500.4	3323.8	131.2	226.9	524.7	1068.602	1068.579	1068.649	0.07	6	1	4	1	3	0			478.7	1507.6	466.2	1497.9	461.7	1498.7	454.1	1542.2	445.4	1561.3	4
EH	1	SCARED	445.7	1857.5	2721.7	217.7	73.5	1168.8	1068.992	1068.969	1069.039	0.07	24	6	4	2	6	3			439.4	1877.4	445.9	1854.8	433.7	1834.6	418.7	1821.4	410.8	1801.6	3
UW	1	YOU	396.1	1173.8	2052.9	78.9	304.2	296.0	1069.312	1069.289	1069.359	0.07	82	0	0	0	9	0			374.4	1241.6	398.1	1161.8	398.9	1134.3	405.9	1151.6	435.0	1195.5	6
ER	0	OR	465.7	1442.8	2322.5	132.1	198.8	1264.9	1069.376	1069.359	1069.409	0.05	94	0	0	0	0	0			459.7	1439.9	467.7	1444.2	482.1	1463.0	480.8	1502.9	461.7	1520.3	5
AE	1	YEAH	479.1	1915.0	3125.0	172.9	218.9	2070.2	1127.455	1127.422	1127.522	0.1	3	0	0	0	9	0			470.6	1872.9	478.4	1916.1	469.5	1913.1	484.2	1868.8	515.9	1903.7	4
AW	1	WOW	572.9	1254.8	1697.3	286.3	507.3	470.1	1160.492	1160.479	1160.579	0.1	42	0	0	0	9	0			575.3	1228.3	599.7	1156.6	561.0	1261.5	511.4	1288.4	475.1	1241.1	6
IH	1	DIFFICULT	408.6	1531.6	2542.1	109.6	255.6	249.3	1170.2	1170.17	1170.26	0.09	1	3	2	1	3	2			404.4	1495.2	409.2	1527.9	429.0	1468.3	454.2	1487.5	447.2	1540.5	5
IY	1	SEEN	418.0	2328.6	3493.9	222.6	84.1	93.0	1173.027	1172.994	1173.094	0.1	11	4	4	2	3	0			385.2	2292.9	431.7	2328.0	531.9	2305.4	454.1	2303.2	429.1	2275.0	4
AH	1	OTHER	562.4	1330.4	2886.2	134.9	185.5	495.8	1173.161	1173.124	1173.234	0.11	6	3	3	2	0	1			580.5	1465.4	562.2	1325.9	565.3	1318.0	519.9	1273.2	499.2	1213.9	5
ER	0	OTHER	570.9	1313.0	2425.7	146.2	110.6	1429.7	1173.281	1173.264	1173.314	0.05	94	0	0	0	3	0			593.9	1320.0	565.2	1312.0	517.8	1298.7	495.5	1254.8	493.4	1231.6	6
AE	1	THAT	578.5	1542.6	3132.0	141.3	104.7	296.7	1173.597	1173.554	1173.684	0.13	3	1	4	1	3	0			559.8	1548.1	585.2	1547.5	576.5	1519.6	567.0	1515.7	566.1	1589.1	4
AY	1	LIKE	518.6	1207.9	2874.6	67.7	131.1	264.1	1173.952	1173.964	1174.034	0.07	47	1	6	1	7	0		m	464.1	1217.5	446.0	1302.5	451.5	1272.2	466.4	1178.5	485.6	1152.8	6
IY	1	SEEN	438.5	1723.2	2372.2	197.0	132.2	216.2	1174.181	1174.164	1174.214	0.05	11	4	4	2	3	0			472.5	1701.5	429.1	1731.6	370.8	1785.8	362.0	1660.5	355.6	1519.5	6
AA	1	HARD	598.9	1085.5	2020.3	75.4	168.3	600.3	1174.777	1174.744	1174.844	0.1	44	6	4	2	0	3			578.4	1046.8	602.2	1091.3	585.4	1132.9	549.5	1144.7	518.0	1211.5	3
UW	1	TO	436.4	1372.8	2411.2	97.8	289.5	1068.7	1174.951	1174.944	1175.004	0.06	73	0	0	0	3	0			436.4	1372.8	439.2	1311.5	437.9	1288.7	431.5	1304.4	418.0	1280.3	5
ER	0	OR	417.9	1662.4	2324.8	141.4	202.0	1266.9	1175.571	1175.554	1175.604	0.05	94	0	0	0	0	0			414.6	1665.0	419.9	1663.6	433.9	1676.3	441.6	1674.9	447.2	1648.4	5
AE	1	AND	532.3	1449.1	2644.0	77.7	218.5	307.9	1207.074	1207.054	1207.114	0.06	3	4	4	2	0	3			516.3	1461.9	535.6	1444.9	566.5	1456.5	576.2	1483.5	579.6	1514.4	5
AE	1	THAT	549.2	1519.4	2654.8	128.2	199.6	87.0	1207.277	1207.254	1207.324	0.07	3	1	4	1	3	0			544.1	1530.4	549.9	1517.1	542.2	1533.6	541.3	1522.2	527.0	1523.7	5
AH	1	UM	596.5	1271.2	2518.5	169.4	168.6	695.0	1207.657	1207.634	1207.704	0.07	6	4	1	2	0	0			591.9	1226.0	596.2	1273.2	579.8	1250.2	557.7	1211.1	556.7	1203.3	5
IH	1	IT'S	543.4	1436.6	2544.0	294.2	174.6	683.5	1207.964	1207.934	1208.024	0.09	1	1	4	1	0	3			553.8	1409.3	536.8	1445.3	496.3	1518.7	465.4	1525.2	439.6	1484.8	5
AE	1	YEAH	514.7	1846.0	2935.9	176.2	234.6	636.3	1217.644	1217.617	1217.697	0.08	3	0	0	0	9	0			484.6	1875.1	515.9	1846.4	499.0	1826.0	471.7	1727.4	488.9	1667.1	5
AE	1	YEAH	567.3	1942.4	3132.7	222.5	316.2	720.9	1218.448	1218.418	1218.508	0.09	3	0	0	0	9	0			587.5	1881.7	561.0	1949.5	547.5	2054.5	540.0	1734.4	508.5	1483.1	5
AW	1	WOW	557.9	1320.1	2539.2	141.9	207.0	333.2	1223.813	1223.785	1223.945	0.16	42	0	0	0	9	0			578.3	1331.3	715.2	1286.7	538.2	1221.7	498.8	1080.8	514.4	1192.4	6
OW	1	NO	561.2	1368.5	1954.4	135.5	282.1	535.3	1228.318	1228.285	1228.415	0.13	63	0	0	0	4	0			548.8	1382.9	571.2	1346.7	592.6	1405.5	599.0	1342.2	579.3	1360.0	6
EH	1	WELL	608.4	1049.6	1690.6	35.6	250.5	496.2	1228.622	1228.605	1228.655	0.05	2	5	4	2	9	0			599.8	1054.7	609.8	1048.1	616.2	1027.2	613.3	1030.8	610.7	1054.2	6
AY	1	I'M	625.4	1270.0	2178.9	140.4	342.0	650.2	1228.9	1228.865	1228.935	0.07	41	4	1	2	0	0		m	576.4	1196.1	585.8	1192.8	625.4	1270.0	720.3	1424.5	674.2	1554.5	5
AW	1	ABOUT	626.0	1151.7	2601.7	171.8	62.5	729.6	1230.222	1230.215	1230.335	0.12	42	1	4	1	1	0			577.2	1153.8	523.6	1150.4	519.3	1104.6	486.9	1118.8	457.1	1138.7	5
OW	1	GROWING	587.7	1207.5	2117.4	117.6	311.7	491.1	1230.639	1230.625	1230.685	0.06	62	0	0	0	8	1			585.5	1211.2	596.8	1185.1	601.5	1123.7	586.0	1085.7	559.3	1077.5	5
AH	1	UP	640.7	1201.0	2606.6	133.6	247.2	336.7	1230.788	1230.745	1230.875	0.13	6	1	1	1	0	0			600.8	1135.0	635.9	1195.3	607.8	1167.1	654.0	1172.8	608.1	1172.9	6
ER	0	WERE	435.7	1439.4	1741.7	74.8	181.4	245.3	1232.337	1232.32	1232.37	0.05	94	0	0	0	9	0			437.3	1403.1	435.7	1444.3	433.8	1457.3	421.2	1469.0	411.1	1474.3	6
IH	1	KID	424.8	1845.9	2336.2	76.4	97.5	255.6	1232.53	1232.5	1232.59	0.09	1	1	4	2	6	0			416.0	1799.4	422.0	1801.4	413.4	1695.1	411.1	1827.7	394.8	1892.5	6
AH	1	UH	613.4	1220.6	2632.9	138.3	189.4	572.9	1233.648	1233.588	1233.768	0.18	6	0	0	0	0	0			639.7	1195.4	609.0	1226.0	549.6	1231.8	575.6	1260.6	565.8	1228.9	5
AH	1	WHAT	465.9	1005.9	2683.9	71.2	229.9	422.2	1234.631	1234.614	1234.664	0.05	6	1	4	1	9	0			463.2	1000.4	467.2	1005.6	473.8	1007.4	469.4	1021.2	468.8	1028.6	5
AY	1	KIND	636.7	1403.4	2556.4	201.2	318.2	776.0	1234.756	1234.744	1234.804	0.06	41	4	4	2	6	3		m	636.7	1403.4	624.1	1381.2	621.4	1380.4	640.9	1404.3	671.7	1432.2	5
AH	0	OF	595.9	1562.4	2651.6	174.9	202.5	574.8	1234.874	1234.854	1234.913	0.059	6	3	2	2	0	0			605.1	1577.8	594.6	1563.6	581.2	1541.9	581.4	1538.0	587.8	1528.6	5
UW	1	YOU	421.7	1651.4	2085.0	117.7	362.4	1544.9	1235.394	1235.374	1235.434	0.06	82	0	0	0	9	0			439.3	1518.9	420.7	1646.1	406.9	1581.2	397.7	1530.2	398.2	1519.7	5
UW	1	DO	541.5	1394.2	2336.8	307.4	726.1	471.9	1235.471	1235.464	1235.514	0.05	73	0	0	0	3	0			541.5	1394.2	507.8	1335.2	545.7	1369.8	569.6	1301.3	585.7	1240.0	6
AH	1	HUH	602.0	1133.8	3249.3	203.1	103.8	277.1	1238.693	1238.67	1238.74	0.07	6	0	0	0	0	0			655.1	1132.3	599.1	1131.1	602.5	1126.9	636.1	1131.4	704.3	1132.8	4
AH	1	UH	638.1	1218.9	1968.8	204.3	197.1	208.5	1278.151	1278.101	1278.251	0.15	6	0	0	0	0	0			635.1	1247.2	625.0	1219.4	502.5	1231.3	538.3	1128.3	571.0	1075.4	6
EH	1	ANY	611.8	1554.2	2638.3	288.0	290.6	820.5	1283.862	1283.832	1283.922	0.09	2	4	4	2	0	1			647.4	1497.8	623.0	1564.1	672.6	1614.7	734.0	1683.7	754.0	1716.2	5
IY	0	ANY	475.4	1718.3	2342.1	184.4	106.2	543.0	1283.972	1283.952	1284.012	0.06	12	0	0	0	4	0			452.3	1723.6	478.6	1718.0	499.9	1691.1	500.8	1675.5	503.4	1667.5	5
IH	1	PARTICULARLY	381.3	1780.5	2284.7	114.8	229.0	1032.3	1284.229	1284.212	1284.262	0.05	1	1	6	1	3	2			388.0	1722.2	380.5	1792.4	383.3	1847.2	402.4	1865.3	417.3	1853.6	5
IY	0	PARTICULARLY	409.9	1768.5	2012.7	108.3	280.7	674.6	1284.559	1284.532	1284.612	0.08	12	0	0	0	7	0			406.6	1666.2	410.0	1770.3	416.3	1738.4	424.0	1719.0	441.5	1632.5	5
AA	1	FOND	623.7	1020.0	1992.9	99.6	145.8	823.8	1284.705	1284.662	1284.792	0.13	5	4	4	2	1	3			648.8	1016.9	610.0	1022.0	573.9	1028.9	553.1	1080.7	586.2	1115.0	3
EH	1	MEMORIES	499.9	1278.4	2350.3	93.1	329.9	713.4	1284.905	1284.882	1284.952	0.07	2	4	1	2	2	2			504.5	1304.4	498.5	1279.9	492.0	1310.1	480.8	1361.4	462.3	1365.7	5
ER	0	MEMORIES	397.9	1112.6	1740.5	86.9	303.0	168.9	1285.062	1285.032	1285.122	0.09	94	0	0	0	2	1			403.0	1074.4	395.7	1117.4	371.4	1170.2	345.4	1181.8	336.1	1230.0	6
AH	0	OF	401.9	1363.8	2497.3	77.5	95.7	557.4	1285.239	1285.222	1285.272	0.05	6	3	2	2	0	0			397.3	1362.0	403.0	1363.9	415.0	1359.9	430.4	1347.8	435.2	1330.8	5
AW	1	WOW	666.3	1321.6	2970.4	194.8	347.0	666.7	1301.873	1301.866	1301.946	0.08	42	0	0	0	9	0			655.8	1317.3	596.2	1313.3	650.8	1314.3	714.1	1318.8	668.4	1402.6	4
AW	1	WOW	687.8	1195.3	2315.5	423.7	669.3	482.2	1315.174	1315.162	1315.212	0.05	42	0	0	0	9	0			687.8	1195.3	622.0	1245.5	559.2	1220.8	481.1	1095.4	496.5	1002.2	6
EH	1	WELL	485.2	1358.7	1826.3	47.7	291.1	1454.2	1320.326	1320.306	1320.366	0.06	2	5	4	2	9	0			501.8	1281.6	483.3	1373.1	472.5	1404.1	482.0	1324.1	534.0	1115.8	6
AY	1	I	715.4	1364.0	2813.7	72.1	86.7	196.6	1320.595	1320.516	1320.676	0.16	41	0	0	0	0	0		s	643.3	1274.1	702.8	1267.5	719.3	1369.5	682.0	1456.6	599.3	1559.7	5
AY	1	I	635.9	1426.0	2781.4	104.5	187.8	443.3	1320.942	1320.906	1320.986	0.08	41	0	0	0	0	0		m	646.3	1486.1	630.9	1411.1	633.8	1448.5	584.0	1497.0	548.6	1520.0	5
OW	1	DON'T	543.5	1034.8	2446.5	99.3	136.8	874.5	1321.058	1321.036	1321.146	0.11	62	4	4	2	3	0			539.9	1036.3	608.7	1063.6	608.0	1035.0	576.5	1001.4	613.1	1021.3	5
EH	1	REMEMBER	649.6	1383.6	3169.1	64.0	137.9	305.2	1321.353	1321.326	1321.406	0.08	2	4	1	2	2	4			649.3	1405.6	650.0	1383.2	664.9	1404.7	684.0	1440.8	699.2	1463.4	4
ER	0	REMEMBER	429.2	1172.1	1830.5	77.9	121.6	287.7	1321.576	1321.546	1321.636	0.09	94	0	0	0	1	0			450.6	1202.9	428.1	1168.9	439.9	1168.5	447.5	1185.9	426.7	1203.3	6
AH	1	BUT	528.0	1402.5	2530.2	71.5	145.6	524.3	1321.733	1321.716	1321.766	0.05	6	1	4	1	1	0			521.6	1371.9	528.8	1408.2	528.4	1427.0	522.3	1422.5	520.3	1430.8	5
AE	1	HAPPENED	691.1	1539.9	2561.2	71.7	310.8	172.7	1331.788	1331.765	1331.835	0.07	3	1	1	1	0	1			710.6	1608.2	685.2	1532.0	664.1	1515.9	652.7	1556.2	627.3	1556.2	5
EY	1	OKAY	758.9	1718.9	1979.6	276.0	836.1	153.3	1358.466	1358.441	1358.491	0.05	22	0	0	0	6	0			740.7	1738.5	749.4	1737.8	753.5	1719.5	734.5	1695.5	732.7	1673.9	6
OW	1	OKAY	493.6	1249.2	2388.1	189.3	165.0	852.6	1370.968	1370.961	1371.051	0.09	62	1	6	1	0	1			473.2	1253.5	438.0	1204.9	442.9	1116.0	446.5	1139.9	457.7	1169.2	6
AE	1	YEAH	503.0	1887.6	2588.9	135.9	209.5	466.5	1386.278	1386.245	1386.345	0.1	3	0	0	0	9	0			519.6	1934.2	499.9	1874.1	480.9	1821.0	516.1	1829.1	525.9	1818.1	4
AH	1	HUH	567.2	1314.1	2542.8	240.9	547.0	569.6	1388.339	1388.309	1388.399	0.09	6	0	0	0	0	0			598.8	1493.9	559.2	1288.5	527.1	1255.7	490.1	1224.5	479.3	1216.0	5
AH	1	UH	462.0	1231.8	2327.8	227.2	170.8	485.9	1399.175	1399.138	1399.248	0.11	6	0	0	0	0	0			510.5	1211.5	457.8	1232.9	406.9	1203.3	401.3	1169.3	444.6	1122.3	6
AH	1	HUH	500.8	1122.0	2162.5	210.9	216.7	1357.7	1399.308	1399.278	1399.368	0.09	6	0	0	0	0	0			525.3	1122.6	490.9	1123.5	452.5	1129.7	456.3	1152.0	464.8	1194.7	6
AH	0	MHM	653.0	1570.1	2051.8	455.9	490.8	221.7	1419.562	1419.539	1419.609	0.07	6	4	1	2	0	4			811.4	1655.8	620.4	1547.2	478.0	1533.9	465.8	1525.7	453.6	1521.5	6
OW	1	NO	564.5	1150.7	2012.7	162.1	132.6	765.8	1434.78	1434.772	1434.982	0.21	63	0	0	0	4	0			560.1	1108.3	548.9	1142.9	534.8	1081.8	480.7	1083.6	487.2	1131.8	6
AH	0	DID	316.6	1657.8	2325.2	47.3	295.4	580.7	1439.26	1439.243	1439.293	0.05	6	1	4	2	3	0			318.0	1727.5	316.4	1651.8	318.7	1527.7	335.2	1357.8	344.7	1439.8	6
UW	1	YOU	539.9	1637.5	2122.9	83.1	205.4	326.8	1439.38	1439.363	1439.413	0.05	82	0	0	0	9	0			557.0	1676.0	536.4	1630.3	515.6	1577.4	508.0	1532.1	511.0	1526.6	6
EH	1	EVER	601.9	1397.5	1865.6	127.9	175.3	91.6	1439.436	1439.413	1439.483	0.07	2	3	2	2	0	1			573.8	1426.1	606.7	1395.3	624.8	1397.5	603.2	1383.1	561.3	1367.4	6
IH	1	GET	466.5	1664.2	2340.4	83.4	167.3	688.6	1439.596	1439.573	1439.643	0.07	1	1	4	1	6	0			457.5	1750.6	466.7	1648.6	468.5	1594.5	471.3	1592.1	464.4	1578.6	5
AH	1	SOMETHING	535.4	1223.1	2721.9	145.7	182.9	438.6	1440.07	1440.043	1440.123	0.08	6	4	1	2	3	4			522.7	1233.9	536.9	1222.2	529.3	1197.6	491.8	1182.7	478.4	1212.0	5
